x-axis,1,2
second,Volt,Volt
-500.0000E+00,,
-499.7500E+00,,
-499.5000E+00,,
-499.2500E+00,,
-499.0000E+00,,
-498.7500E+00,,
-498.5000E+00,,
-498.2500E+00,,
-498.0000E+00,,
-497.7500E+00,,
-497.5000E+00,,
-497.2500E+00,,
-497.0000E+00,,
-496.7500E+00,,
-496.5000E+00,,
-496.2500E+00,,
-496.0000E+00,,
-495.7500E+00,,
-495.5000E+00,,
-495.2500E+00,,
-495.0000E+00,,
-494.7500E+00,,
-494.5000E+00,,
-494.2500E+00,,
-494.0000E+00,,
-493.7500E+00,,
-493.5000E+00,,
-493.2500E+00,,
-493.0000E+00,,
-492.7500E+00,,
-492.5000E+00,,
-492.2500E+00,,
-492.0000E+00,,
-491.7500E+00,,
-491.5000E+00,,
-491.2500E+00,,
-491.0000E+00,,
-490.7500E+00,,
-490.5000E+00,,
-490.2500E+00,,
-490.0000E+00,,
-489.7500E+00,,
-489.5000E+00,,
-489.2500E+00,,
-489.0000E+00,,
-488.7500E+00,,
-488.5000E+00,,
-488.2500E+00,,
-488.0000E+00,,
-487.7500E+00,,
-487.5000E+00,,
-487.2500E+00,,
-487.0000E+00,,
-486.7500E+00,,
-486.5000E+00,,
-486.2500E+00,,
-486.0000E+00,,
-485.7500E+00,,
-485.5000E+00,,
-485.2500E+00,,
-485.0000E+00,,
-484.7500E+00,,
-484.5000E+00,,
-484.2500E+00,,
-484.0000E+00,,
-483.7500E+00,,
-483.5000E+00,,
-483.2500E+00,,
-483.0000E+00,,
-482.7500E+00,,
-482.5000E+00,,
-482.2500E+00,,
-482.0000E+00,,
-481.7500E+00,,
-481.5000E+00,,
-481.2500E+00,,
-481.0000E+00,,
-480.7500E+00,,
-480.5000E+00,,
-480.2500E+00,,
-480.0000E+00,,
-479.7500E+00,,
-479.5000E+00,,
-479.2500E+00,,
-479.0000E+00,,
-478.7500E+00,,
-478.5000E+00,,
-478.2500E+00,,
-478.0000E+00,,
-477.7500E+00,,
-477.5000E+00,,
-477.2500E+00,,
-477.0000E+00,,
-476.7500E+00,,
-476.5000E+00,,
-476.2500E+00,,
-476.0000E+00,,
-475.7500E+00,,
-475.5000E+00,,
-475.2500E+00,,
-475.0000E+00,,
-474.7500E+00,,
-474.5000E+00,,
-474.2500E+00,,
-474.0000E+00,,
-473.7500E+00,,
-473.5000E+00,,
-473.2500E+00,,
-473.0000E+00,,
-472.7500E+00,,
-472.5000E+00,,
-472.2500E+00,,
-472.0000E+00,,
-471.7500E+00,,
-471.5000E+00,,
-471.2500E+00,,
